Country Name,Country Code,2021
Aruba,ABW,3126019385
Africa Eastern and Southern,AFE,1081998139192
Afghanistan,AFG,14583135237
Africa Western and Central,AFW,844459722153
Angola,AGO,65685435100
Albania,ALB,17930565119
Andorra,AND,3325145407
Arab World,ARB,2928455523440
United Arab Emirates,ARE,415021590688
Argentina,ARG,487227125386
Armenia,ARM,13861409969
American Samoa,ASM,709000000
Antigua and Barbuda,ATG,1560518519
Australia,AUS,1552703151616
Austria,AUT,480368403893
Azerbaijan,AZE,54825411765
Burundi,BDI,2775798697
Belgium,BEL,594351961634
Benin,BEN,17690083520
Burkina Faso,BFA,19737616003
Bangladesh,BGD,416264802185
Bulgaria,BGR,84061395658
Bahrain,BHR,39303403989
"Bahamas, The",BHS,11527600000
Bosnia and Herzegovina,BIH,23649566069
Belarus,BLR,69673747132
Belize,BLZ,2491500000
Bermuda,BMU,7127200000
Bolivia,BOL,40408208524
Brazil,BRA,1649622972159
Barbados,BRB,4843800000
Brunei Darussalam,BRN,14006497000
Bhutan,BTN,2539551327
Botswana,BWA,18737066307
Central African Republic,CAF,2516498412
Canada,CAN,2001486745424
Central Europe and the Baltics,CEB,1905555039663
Switzerland,CHE,800640155387
Channel Islands,CHI,11735662220
Chile,CHL,316713577509
China,CHN,17820459342451
Cote d'Ivoire,CIV,71811075955
Cameroon,CMR,45338285386
"Congo, Dem. Rep.",COD,55350968593
"Congo, Rep.",COG,13366230821
Colombia,COL,318511813577
Comoros,COM,1296089479
Cabo Verde,CPV,2091741774
Costa Rica,CRI,64616482168
Caribbean small states,CSS,75672802627
Cuba,CUB,
Curacao,CUW,2699612458
Cayman Islands,CYM,6028373541
Cyprus,CYP,28408064462
Czechia,CZE,281791218507
Germany,DEU,4259934911822
Djibouti,DJI,3372287462
Dominica,DMA,555266666.7
Denmark,DNK,398303272764
Dominican Republic,DOM,94243426487
Algeria,DZA,163472233246
East Asia & Pacific (excluding high income),EAP,20837352063118
Early-demographic dividend,EAR,12674194364882
East Asia & Pacific,EAS,31095572987691
Europe & Central Asia (excluding high income),ECA,3581677715820
Europe & Central Asia,ECS,25153884144576
Ecuador,ECU,106165866000
"Egypt, Arab Rep.",EGY,424671765456
Euro area,EMU,14570891691512
Eritrea,ERI,
Spain,ESP,1427380681295
Estonia,EST,37191166152
Ethiopia,ETH,111261882913
European Union,EUU,17187869517146
Fragile and conflict affected situations,FCS,1782737506680
Finland,FIN,296387625264
Fiji,FJI,4296235428
France,FRA,2957879759264
Faroe Islands,FRO,3649878680
"Micronesia, Fed. Sts.",FSM,404028900
Gabon,GAB,20217946921
United Kingdom,GBR,3122480345925
Georgia,GEO,18629365612
Ghana,GHA,79156409410
Gibraltar,GIB,
Guinea,GIN,16091817842
"Gambia, The",GMB,2038414974
Guinea-Bissau,GNB,1638517607
Equatorial Guinea,GNQ,12269393392
Greece,GRC,214873879834
Grenada,GRD,1122800000
Greenland,GRL,3235816195
Guatemala,GTM,86053079767
Guam,GUM,6123000000
Guyana,GUY,8044498801
High income,HIC,60016712305060
"Hong Kong SAR, China",HKG,368911387845
Honduras,HND,28488721296
Heavily indebted poor countries (HIPC),HPC,898771753068
Croatia,HRV,68843674641
Haiti,HTI,20877414952
Hungary,HUN,182275444032
IBRD only,IBD,35615582809273
IDA & IBRD total,IBT,38246179203967
IDA total,IDA,2630947161901
IDA blend,IDB,1096038565477
Indonesia,IDN,1186505455721
IDA only,IDX,1534883548262
Isle of Man,IMN,
India,IND,3150306834280
Not classified,INX,
Ireland,IRL,504182603276
"Iran, Islamic Rep.",IRN,359096907773
Iraq,IRQ,207691599310
Iceland,ISL,25552639899
Israel,ISR,488526545879
Italy,ITA,2114355756914
Jamaica,JAM,14657586359
Jordan,JOR,45116317042
Japan,JPN,5005536736792
Kazakhstan,KAZ,197112255361
Kenya,KEN,109703659313
Kyrgyz Republic,KGZ,8740681889
Cambodia,KHM,26961061152
Kiribati,KIR,227610034.8
St. Kitts and Nevis,KNA,860844444.4
"Korea, Rep.",KOR,1810955871381
Kuwait,KWT,136797422274
Latin America & Caribbean (excluding high income),LAC,4624162365921
Lao PDR,LAO,18827148530
Lebanon,LBN,23131941557
Liberia,LBR,3509000000
Libya,LBY,39798423941
St. Lucia,LCA,1691259259
Latin America & Caribbean,LCN,5510523909433
Least developed countries: UN classification,LDC,1266463101992
Low income,LIC,467876851997
Liechtenstein,LIE,7186428783
Sri Lanka,LKA,88496535599
Lower middle income,LMC,7592013359835
Low & middle income,LMY,36537287030969
Lesotho,LSO,2373416269
Late-demographic dividend,LTE,26827496302511
Lithuania,LTU,66414994992
Luxembourg,LUX,85506243834
Latvia,LVA,39725383601
"Macao SAR, China",MAC,30123795337
St. Martin (French part),MAF,
Morocco,MAR,142866583125
Monaco,MCO,8596156574
Moldova,MDA,13692230147
Madagascar,MDG,14554754115
Maldives,MDV,5405557162
Middle East & North Africa,MEA,3740992832406
Mexico,MEX,1272838810896
Marshall Islands,MHL,259538700
Middle income,MIC,36066152279427
North Macedonia,MKD,13825049832
Mali,MLI,19309463506
Malta,MLT,17743376199
Myanmar,MMR,65124769602
Middle East & North Africa (excluding high income),MNA,1507013655175
Montenegro,MNE,5861430526
Mongolia,MNG,15286441740
Northern Mariana Islands,MNP,
Mozambique,MOZ,15776757420
Mauritania,MRT,9996240419
Mauritius,MUS,11476433604
Malawi,MWI,12602334124
Malaysia,MYS,372981073018
North America,NAC,25323694505424
Namibia,NAM,12446290855
New Caledonia,NCL,10071349707
Niger,NER,14915002098
Nigeria,NGA,440833583992
Nicaragua,NIC,14145852101
Netherlands,NLD,1011798853062
Norway,NOR,490293364377
Nepal,NPL,36924841430
Nauru,NRU,145536603.2
New Zealand,NZL,255551704626
OECD members,OED,58363931312919
Oman,OMN,88191977373
Other small states,OSS,455685066365
Pakistan,PAK,348262544719
Panama,PAN,67406738052
Peru,PER,223717791483
Philippines,PHL,394087362017
Palau,PLW,217800000
Papua New Guinea,PNG,26311656000
Poland,POL,679441900611
Pre-demographic dividend,PRE,1429588429474
Puerto Rico,PRI,106368900000
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,253982847571
Paraguay,PRY,39950899733
West Bank and Gaza,PSE,18109000000
Pacific island small states,PSS,9475964549
Post-demographic dividend,PST,55090863284052
French Polynesia,PYF,6080359305
Qatar,QAT,179677131707
Romania,ROU,285404683025
Russian Federation,RUS,1836892075548
Rwanda,RWA,11055281971
South Asia,SAS,4062783801939
Saudi Arabia,SAU,868585871465
Sudan,SDN,34229513775
Senegal,SEN,27569136728
Singapore,SGP,423796995373
Solomon Islands,SLB,1580303517
Sierra Leone,SLE,4249234574
El Salvador,SLV,29451240000
San Marino,SMR,1855382833
Somalia,SOM,7628000011
Serbia,SRB,63082021206
Sub-Saharan Africa (excluding high income),SSA,1925171173472
South Sudan,SSD,
Sub-Saharan Africa,SSF,1926457861345
Small states,SST,540833833541
Sao Tome and Principe,STP,526653790.7
Suriname,SUR,2984706244
Slovak Republic,SVK,118656591909
Slovenia,SVN,61748586535
Sweden,SWE,636856236396
Eswatini,SWZ,4748702401
Sint Maarten (Dutch part),SXM,1384636872
Seychelles,SYC,1286687873
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1044778790
Chad,TCD,11779981332
East Asia & Pacific (IDA & IBRD countries),TEA,20811347144903
Europe & Central Asia (IDA & IBRD countries),TEC,4615367974096
Togo,TGO,8334047486
Thailand,THA,505568057004
Tajikistan,TJK,8937805347
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5238233593532
Timor-Leste,TLS,3621222400
Middle East & North Africa (IDA & IBRD countries),TMN,1488905605616
Tonga,TON,469228124.2
South Asia (IDA & IBRD),TSA,4062783801939
Sub-Saharan Africa (IDA & IBRD countries),TSS,1926457861345
Trinidad and Tobago,TTO,24460196270
Tunisia,TUN,46687298709
Turkiye,TUR,819034484303
Tuvalu,TUV,60196366.81
Tanzania,TZA,70655628141
Uganda,UGA,40510241366
Ukraine,UKR,199765856765
Upper middle income,UMC,28475143446764
Uruguay,URY,61412268249
United States,USA,23315080560000
Uzbekistan,UZB,69600614989
St. Vincent and the Grenadines,VCT,872226063.7
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,366137590718
Vanuatu,VUT,971636097.9
World,WLD,96882397612409
Samoa,WSM,843850777.8
Kosovo,XKX,9412034299
"Yemen, Rep.",YEM,
South Africa,ZAF,419015636065
Zambia,ZMB,22147649569
Zimbabwe,ZWE,28371238666